786,3,岩手県,3,33,東北本線,1,717,水沢駅,9,奥州市,10,786,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,39.138998,141.146395
791,3,岩手県,3,33,東北本線,1,722,花巻駅,14,花巻市,10,791,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.393182,141.110458
797,3,岩手県,3,33,東北本線,1,728,矢幅駅,20,紫波郡,10,797,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.613293,141.148299
798,3,岩手県,3,33,東北本線,1,729,岩手飯岡駅,21,盛岡市,10,798,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.65373,141.146861
799,3,岩手県,3,33,東北本線,1,730,仙北町駅,22,盛岡市,10,799,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.687919,141.148814
800,3,岩手県,3,33,東北本線,1,731,盛岡駅,23,盛岡市,10,800,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.7015469999999,141.136598999999
834,3,岩手県,3,36,田沢湖線,4,731,盛岡駅,1,盛岡市,10,800,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.7015469999999,141.136598999999
840,3,岩手県,3,37,釜石線,5,722,花巻駅,1,花巻市,10,791,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.393182,141.110458
843,3,岩手県,3,37,釜石線,5,770,小山田駅,4,花巻市,10,843,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,39.4086,141.193999
876,3,岩手県,4,38,山田線,6,802,宮古駅,13,宮古市,10,876,system,2019-10-01 11:05:24,system,2019-10-01 11:05:24,3,39.640287,141.946454
891,3,岩手県,3,38,山田線,6,817,山岸駅,28,盛岡市,10,891,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.71596,141.171401
893,3,岩手県,3,38,山田線,6,731,盛岡駅,30,盛岡市,10,800,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.7015469999999,141.136598999999
896,3,岩手県,3,39,花輪線,7,821,大更駅,3,八幡平市,10,896,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.913746,141.100808
922,3,岩手県,3,27,東北新幹線,9,731,盛岡駅,8,盛岡市,10,800,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.7015469999999,141.136598999999
929,3,岩手県,3,40,秋田新幹線,10,731,盛岡駅,5,盛岡市,10,800,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.7015469999999,141.136598999999
941,3,岩手県,4,42,北リアス線,12,802,宮古駅,1,宮古市,10,876,system,2019-10-01 11:05:24,system,2019-10-01 11:05:24,3,39.640287,141.946454
945,3,岩手県,3,42,北リアス線,12,857,田老駅,5,宮古市,10,945,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,39.731848,141.964556
957,3,岩手県,3,31,いわて銀河鉄道,13,731,盛岡駅,2,盛岡市,10,800,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.7015469999999,141.136598999999
958,3,岩手県,3,31,いわて銀河鉄道,13,868,青山駅（岩手県）,3,盛岡市,10,958,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,39.725029,141.118462
959,3,岩手県,3,31,いわて銀河鉄道,13,869,厨川駅,4,盛岡市,10,959,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,39.744637,141.129354
978,4,宮城県,6,33,東北本線,1,885,大河原駅(宮城県),28,柴田郡,13,978,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.047491,140.740142
981,4,宮城県,6,33,東北本線,1,888,岩沼駅,31,岩沼市,13,981,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.11205,140.863783
986,4,宮城県,4,33,東北本線,1,893,長町駅,36,仙台市|太白区,13,986,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,38.228244,140.884842
